2022-11-12 @ 11:54:22	Serveur démarré
2022-11-12 @ 11:54:23	Accès autorisé à "Nom d'utilisateur" à partir de l'IP: 127.0.0.1
2022-11-12 @ 11:54:32	Fermeture de la communication avec Nom d'utilisateur à partir de l'IP: 127.0.0.1
2022-11-12 @ 11:57:54	Accès autorisé à "Nom d'utilisateur" à partir de l'IP: 127.0.0.1
2022-11-12 @ 11:57:58	Accès autorisé à "Nom d'utilisateurf" à partir de l'IP: 127.0.0.1
2022-11-12 @ 11:58:04	Message envoyé à "Nom d'utilisateur" par "Nom d'utilisateurf"...
                     	asfwa
2022-11-12 @ 11:58:30	Fermeture de la communication avec Nom d'utilisateurf à partir de l'IP: 127.0.0.1
2022-11-12 @ 11:58:33	Fermeture de la communication avec Nom d'utilisateur à partir de l'IP: 127.0.0.1
2022-11-12 @ 11:58:42	Accès autorisé à "Nom d'utilisateur" à partir de l'IP: 127.0.0.1
2022-11-12 @ 11:58:45	Accès autorisé à "Nom d'utilisateurd" à partir de l'IP: 127.0.0.1
2022-11-12 @ 11:58:48	Message envoyé à "Nom d'utilisateur" par "Nom d'utilisateurd"...
                     	asfwa
2022-11-12 @ 11:58:52	Message envoyé à "Nom d'utilisateurd" par "Nom d'utilisateur"...
                     	fasfaw
2022-11-12 @ 11:58:56	Message envoyé à "Nom d'utilisateurd" par "Nom d'utilisateur"...
                     	afwas
2022-11-12 @ 11:58:58	Message envoyé à "Nom d'utilisateur" par "Nom d'utilisateurd"...
                     	awfs
2022-11-12 @ 11:59:20	Fermeture de la communication avec Nom d'utilisateurd à partir de l'IP: 127.0.0.1
2022-11-12 @ 11:59:22	Fermeture de la communication avec Nom d'utilisateur à partir de l'IP: 127.0.0.1
2022-11-12 @ 11:59:29	Accès autorisé à "Nom d'utilisateur" à partir de l'IP: 127.0.0.1
2022-11-12 @ 11:59:32	Accès autorisé à "Nom d'utilisateurf" à partir de l'IP: 127.0.0.1
2022-11-12 @ 11:59:35	Message envoyé à "Nom d'utilisateur" par "Nom d'utilisateurf"...
                     	asfw
2022-11-12 @ 11:59:37	Message envoyé à "Nom d'utilisateurf" par "Nom d'utilisateur"...
                     	awf
2022-11-12 @ 11:59:38	Message envoyé à "Nom d'utilisateurf" par "Nom d'utilisateur"...
                     	awf
2022-11-12 @ 11:59:39	Message envoyé à "Nom d'utilisateurf" par "Nom d'utilisateur"...
                     	
2022-11-12 @ 11:59:39	Message envoyé à "Nom d'utilisateurf" par "Nom d'utilisateur"...
                     	
2022-11-12 @ 11:59:42	Message envoyé à "Nom d'utilisateur" par "Nom d'utilisateurf"...
                     	awfas
2022-11-12 @ 12:00:01	Message envoyé à "Nom d'utilisateur" par "Nom d'utilisateurf"...
                     	afw
2022-11-12 @ 12:00:16	Fermeture de la communication avec Nom d'utilisateur à partir de l'IP: 127.0.0.1
2022-11-12 @ 12:00:17	Fermeture de la communication avec Nom d'utilisateurf à partir de l'IP: 127.0.0.1
